timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-09 18:31:22.328853,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-09 18:31:22.336257,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-09 18:31:22.337345,LED_CHANGE,LED_01,LED 01,OFF,0,0.0,
2025-08-09 18:31:22.338533,LED_CHANGE,LED_02,LED 02,OFF,0,0.0,
2025-08-09 18:31:22.339591,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,0,0.0,
2025-08-09 18:31:22.340581,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,
2025-08-09 18:31:22.341737,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.001,
2025-08-09 18:31:22.344183,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.004,
2025-08-09 18:31:22.345607,LED_CHANGE,LED_01,LED 01,OFF,1,0.005,
2025-08-09 18:31:22.346737,LED_CHANGE,LED_02,LED 02,OFF,1,0.006,
2025-08-09 18:31:22.347768,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,1,0.007,
2025-08-09 18:31:22.354463,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-09 18:31:22.406185,LED_CHANGE,LED_01,LED 01,OFF,2,0.052,
2025-08-09 18:31:22.407854,LED_CHANGE,LED_02,LED 02,OFF,2,0.053,
2025-08-09 18:31:22.409544,LED_CHANGE,LED_01,LED 01,OFF,2,0.055,
2025-08-09 18:31:22.459120,LED_CHANGE,LED_02,LED 02,OFF,2,0.105,
2025-08-09 18:31:25.387773,SESSION_END,SYSTEM,Sistema,Duración: 3.03s,2,3.033,
2025-08-09 18:31:37.478650,LEVER_PRESS,LEVER_01,Palanca 01,0,2,0.0,
2025-08-09 18:31:37.480989,LEVER_PRESS,LEVER_02,Palanca 02,0,2,0.0,
2025-08-09 18:31:37.482955,LED_CHANGE,LED_01,LED 01,OFF,2,0.0,
2025-08-09 18:31:37.485335,LED_CHANGE,LED_02,LED 02,OFF,2,0.0,
2025-08-09 18:31:37.487882,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,2,0.0,
2025-08-09 18:31:37.490041,SESSION_START,SYSTEM,Sistema,Sesión 3,3,0.0,
2025-08-09 18:31:37.492128,LEVER_PRESS,LEVER_01,Palanca 01,0,3,0.002,
2025-08-09 18:31:37.493920,LEVER_PRESS,LEVER_02,Palanca 02,0,3,0.004,
2025-08-09 18:31:37.495620,LED_CHANGE,LED_01,LED 01,OFF,3,0.006,
2025-08-09 18:31:37.497532,LED_CHANGE,LED_02,LED 02,OFF,3,0.007,
2025-08-09 18:31:37.499163,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,3,0.009,
2025-08-09 18:31:37.501262,SESSION_START,SYSTEM,Sistema,Sesión 4,4,0.0,
2025-08-09 18:31:37.555706,LED_CHANGE,LED_01,LED 01,ON,4,0.054,
2025-08-09 18:31:37.606044,LED_CHANGE,LED_02,LED 02,ON,4,0.105,
2025-08-09 18:32:01.941046,SESSION_END,SYSTEM,Sistema,Duración: 24.44s,4,24.44,
