timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-10 09:39:23.327836,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-10 09:39:23.334112,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-10 09:39:23.335726,LED_CHANGE,LED_01,LED 01,0,0,0.0,
2025-08-10 09:39:23.337218,LED_CHANGE,LED_02,LED 02,0,0,0.0,
2025-08-10 09:39:23.338541,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,0,0.0,
2025-08-10 09:39:23.339879,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,"{""experiment"": ""Experimento Skinner"", ""config"": ""test config"", ""time"": ""10/08/2025 09:39:23""}"
2025-08-10 09:39:23.341553,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.002,
2025-08-10 09:39:23.342845,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.003,
2025-08-10 09:39:23.344249,LED_CHANGE,LED_01,LED 01,0,1,0.004,
2025-08-10 09:39:23.345585,LED_CHANGE,LED_02,LED 02,0,1,0.006,
2025-08-10 09:39:23.346711,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,1,0.007,
2025-08-10 09:39:23.361143,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-10 09:39:23.440227,LED_CHANGE,LED_01,LED 01,0,2,0.079,
2025-08-10 09:39:23.562340,LED_CHANGE,LED_02,LED 02,0,2,0.201,
2025-08-10 09:39:29.417144,SESSION_END,SYSTEM,Sistema,Duración: 6.06s,2,6.056,"{""duration_sec"": 6.055982}"
2025-08-10 09:39:29.555846,LED_CHANGE,LED_01,LED 01,0,2,0.0,
2025-08-10 09:39:29.558385,LED_CHANGE,LED_02,LED 02,0,2,0.0,
2025-08-10 09:39:31.767380,LEVER_PRESS,LEVER_01,Palanca 01,0,2,0.0,
2025-08-10 09:39:31.769877,LEVER_PRESS,LEVER_02,Palanca 02,0,2,0.0,
2025-08-10 09:39:31.772193,LED_CHANGE,LED_01,LED 01,0,2,0.0,
2025-08-10 09:39:31.773510,LED_CHANGE,LED_02,LED 02,0,2,0.0,
2025-08-10 09:39:31.774642,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,2,0.0,
2025-08-10 09:39:31.775830,SESSION_START,SYSTEM,Sistema,Sesión 3,3,0.0,"{""experiment"": ""Experimento Skinner"", ""config"": ""test config"", ""time"": ""10/08/2025 09:39:31""}"
2025-08-10 09:39:31.777384,LEVER_PRESS,LEVER_01,Palanca 01,0,3,0.002,
2025-08-10 09:39:31.778705,LEVER_PRESS,LEVER_02,Palanca 02,0,3,0.003,
2025-08-10 09:39:31.780001,LED_CHANGE,LED_01,LED 01,0,3,0.004,
2025-08-10 09:39:31.781301,LED_CHANGE,LED_02,LED 02,0,3,0.005,
2025-08-10 09:39:31.782365,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,3,0.007,
2025-08-10 09:39:31.789502,SESSION_START,SYSTEM,Sistema,Sesión 4,4,0.0,
2025-08-10 09:39:31.859307,LED_CHANGE,LED_01,LED 01,0,4,0.07,
2025-08-10 09:39:31.956951,LED_CHANGE,LED_02,LED 02,0,4,0.167,
2025-08-10 09:39:33.173177,SESSION_END,SYSTEM,Sistema,Duración: 1.38s,4,1.384,"{""duration_sec"": 1.383652}"
2025-08-10 09:39:33.285725,LED_CHANGE,LED_01,LED 01,0,4,0.0,
2025-08-10 09:39:33.288079,LED_CHANGE,LED_02,LED 02,0,4,0.0,
2025-08-10 09:39:33.914060,LEVER_PRESS,LEVER_01,Palanca 01,0,4,0.0,
2025-08-10 09:39:33.915604,LEVER_PRESS,LEVER_02,Palanca 02,0,4,0.0,
2025-08-10 09:39:33.916925,LED_CHANGE,LED_01,LED 01,0,4,0.0,
2025-08-10 09:39:33.918223,LED_CHANGE,LED_02,LED 02,0,4,0.0,
2025-08-10 09:39:33.919402,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,4,0.0,
2025-08-10 09:39:33.920601,SESSION_START,SYSTEM,Sistema,Sesión 5,5,0.0,"{""experiment"": ""Experimento Skinner"", ""config"": ""test config"", ""time"": ""10/08/2025 09:39:33""}"
2025-08-10 09:39:33.922138,LEVER_PRESS,LEVER_01,Palanca 01,0,5,0.002,
2025-08-10 09:39:33.923464,LEVER_PRESS,LEVER_02,Palanca 02,0,5,0.003,
2025-08-10 09:39:33.925252,LED_CHANGE,LED_01,LED 01,0,5,0.005,
2025-08-10 09:39:33.928065,LED_CHANGE,LED_02,LED 02,0,5,0.007,
2025-08-10 09:39:33.929400,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,5,0.009,
2025-08-10 09:39:33.937478,SESSION_START,SYSTEM,Sistema,Sesión 6,6,0.0,
2025-08-10 09:39:34.057497,LED_CHANGE,LED_01,LED 01,0,6,0.12,
2025-08-10 09:39:34.060852,LED_CHANGE,LED_02,LED 02,0,6,0.123,
2025-08-10 09:39:34.736721,SESSION_END,SYSTEM,Sistema,Duración: 0.80s,6,0.799,"{""duration_sec"": 0.799225}"
