timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-10 10:01:31.235528,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-10 10:01:31.247891,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-10 10:01:31.252659,LED_CHANGE,LED_01,LED 01,0,0,0.0,
2025-08-10 10:01:31.257598,LED_CHANGE,LED_02,LED 02,0,0,0.0,
2025-08-10 10:01:31.262246,FOOD_RECOMPENSE,RECOMPENSA,REcompensa,0,0,0.0,
2025-08-10 10:01:31.267062,FOOD_DISPENSE,DISPENSADOR,Dispensador,0,0,0.0,
2025-08-10 10:01:31.271813,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,"{""experiment"": ""Experimento Skinner"", ""config"": ""test config"", ""time"": ""10/08/2025 10:01:31""}"
2025-08-10 10:01:31.276801,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.005,
2025-08-10 10:01:31.281787,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.01,
2025-08-10 10:01:31.286653,LED_CHANGE,LED_01,LED 01,0,1,0.015,
2025-08-10 10:01:31.292710,LED_CHANGE,LED_02,LED 02,0,1,0.021,
2025-08-10 10:01:31.300032,FOOD_RECOMPENSE,RECOMPENSA,REcompensa,0,1,0.028,
2025-08-10 10:01:31.304981,FOOD_DISPENSE,DISPENSADOR,Dispensador,0,1,0.033,
2025-08-10 10:01:31.321527,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-10 10:01:31.496611,LEVER_PRESS,LEVER_01,Palanca 01,1,2,0.175,
2025-08-10 10:01:31.510248,LED_CHANGE,LED_01,LED 01,0,2,0.189,
2025-08-10 10:01:31.522369,LED_CHANGE,LED_02,LED 02,0,2,0.201,
2025-08-10 10:01:31.541080,FOOD_DISPENSE,DISPENSADOR,Dispensador,1,2,0.22,
2025-08-10 10:01:31.928604,FOOD_RECOMPENSE,RECOMPENSA,REcompensa,1,2,0.607,
2025-08-10 10:01:44.133171,LEVER_PRESS,LEVER_01,Palanca 01,2,2,12.812,
2025-08-10 10:01:44.149560,FOOD_DISPENSE,DISPENSADOR,Dispensador,2,2,12.828,
2025-08-10 10:01:44.461247,FOOD_RECOMPENSE,RECOMPENSA,REcompensa,2,2,13.14,
2025-08-10 10:01:49.126409,LEVER_PRESS,LEVER_01,Palanca 01,3,2,17.805,
2025-08-10 10:01:49.143975,FOOD_DISPENSE,DISPENSADOR,Dispensador,3,2,17.822,
2025-08-10 10:01:49.447211,FOOD_RECOMPENSE,RECOMPENSA,REcompensa,3,2,18.126,
2025-08-10 10:01:52.106570,LEVER_PRESS,LEVER_01,Palanca 01,4,2,20.785,
2025-08-10 10:01:52.131581,FOOD_DISPENSE,DISPENSADOR,Dispensador,4,2,20.81,
2025-08-10 10:01:53.427129,LEVER_PRESS,LEVER_01,Palanca 01,5,2,22.106,
2025-08-10 10:01:53.455814,FOOD_DISPENSE,DISPENSADOR,Dispensador,5,2,22.134,
2025-08-10 10:01:54.415651,LEVER_PRESS,LEVER_01,Palanca 01,6,2,23.094,
2025-08-10 10:01:54.432200,FOOD_DISPENSE,DISPENSADOR,Dispensador,6,2,23.111,
2025-08-10 10:01:58.946804,SESSION_END,SYSTEM,Sistema,Duración: 27.63s,2,27.625,"{""duration_sec"": 27.625256}"
