timestamp,event_type,device_id,new_value,session_id,elapsed_sec,metadata
2025-08-10 12:44:01.513785,SESSION_START,SYSTEM,1,1,0.0,"{""experiment"": ""Experimento Skinner"", ""config"": ""test config"", ""time"": ""10/08/2025 12:44:01""}"
2025-08-10 12:44:01.546123,SESSION_END,SYSTEM,0.03,1,0.032,"{""duration_sec"": 0.032331}"
2025-08-10 12:44:01.552533,SESSION_START,SYSTEM,2,2,0.0,
2025-08-10 12:44:01.646360,LED_CHANGE,LED_01,0,2,0.094,
2025-08-10 12:44:01.766416,LED_CHANGE,LED_02,0,2,0.214,
2025-08-10 12:44:02.080813,LEVER_PRESS,LEVER_01,1,2,0.528,
2025-08-10 12:44:02.100663,FOOD_DISPENSE,DISPENSADOR,1,2,0.548,
2025-08-10 12:44:02.654124,LEVER_PRESS,LEVER_01,2,2,1.102,
2025-08-10 12:44:02.678253,FOOD_DISPENSE,DISPENSADOR,2,2,1.126,
2025-08-10 12:44:03.201187,LEVER_PRESS,LEVER_01,3,2,1.649,
2025-08-10 12:44:03.219072,FOOD_DISPENSE,DISPENSADOR,3,2,1.667,
2025-08-10 12:44:03.866256,LEVER_PRESS,LEVER_01,4,2,2.314,
2025-08-10 12:44:03.897634,FOOD_DISPENSE,DISPENSADOR,4,2,2.345,
2025-08-10 12:44:04.313446,LEVER_PRESS,LEVER_01,5,2,2.761,
2025-08-10 12:44:04.331400,FOOD_DISPENSE,DISPENSADOR,5,2,2.779,
2025-08-10 12:44:04.738169,LEVER_PRESS,LEVER_01,6,2,3.186,
2025-08-10 12:44:04.756607,FOOD_DISPENSE,DISPENSADOR,6,2,3.204,
2025-08-10 12:44:05.197170,LEVER_PRESS,LEVER_01,7,2,3.645,
2025-08-10 12:44:05.225841,FOOD_DISPENSE,DISPENSADOR,7,2,3.673,
2025-08-10 12:44:05.529348,LEVER_PRESS,LEVER_01,8,2,3.977,
2025-08-10 12:44:05.548640,FOOD_DISPENSE,DISPENSADOR,8,2,3.996,
2025-08-10 12:44:06.200527,SESSION_END,SYSTEM,4.65,2,4.648,"{""duration_sec"": 4.647975}"
2025-08-10 12:44:18.883881,SESSION_START,SYSTEM,3,3,0.0,"{""experiment"": ""Experimento Skinner"", ""config"": ""test config"", ""time"": ""10/08/2025 12:44:18""}"
2025-08-10 12:44:18.901842,SESSION_END,SYSTEM,0.02,3,0.018,"{""duration_sec"": 0.017958}"
2025-08-10 12:44:18.908200,SESSION_START,SYSTEM,4,4,0.0,
2025-08-10 12:44:19.081328,LED_CHANGE,LED_01,0,4,0.173,
2025-08-10 12:44:19.094347,LED_CHANGE,LED_02,0,4,0.186,
2025-08-10 12:44:20.969632,LEVER_PRESS,LEVER_01,1,4,2.061,
2025-08-10 12:44:20.985303,FOOD_DISPENSE,DISPENSADOR,1,4,2.077,
2025-08-10 12:44:21.400772,LEVER_PRESS,LEVER_01,2,4,2.493,
2025-08-10 12:44:21.416948,FOOD_DISPENSE,DISPENSADOR,2,4,2.509,
2025-08-10 12:44:21.850429,LEVER_PRESS,LEVER_01,3,4,2.942,
2025-08-10 12:44:21.867779,FOOD_DISPENSE,DISPENSADOR,3,4,2.96,
2025-08-10 12:44:22.188404,LEVER_PRESS,LEVER_01,4,4,3.28,
2025-08-10 12:44:22.226395,FOOD_DISPENSE,DISPENSADOR,4,4,3.318,
2025-08-10 12:44:46.195395,SESSION_END,SYSTEM,27.29,4,27.287,"{""duration_sec"": 27.287176}"
