timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-10 09:39:23.327836,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-10 09:39:23.334112,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-10 09:39:23.335726,LED_CHANGE,LED_01,LED 01,0,0,0.0,
2025-08-10 09:39:23.337218,LED_CHANGE,LED_02,LED 02,0,0,0.0,
2025-08-10 09:39:23.338541,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,0,0.0,
2025-08-10 09:39:23.339879,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,"{""experiment"": ""Experimento Skinner"", ""config"": ""test config"", ""time"": ""10/08/2025 09:39:23""}"
2025-08-10 09:39:23.341553,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.002,
2025-08-10 09:39:23.342845,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.003,
2025-08-10 09:39:23.344249,LED_CHANGE,LED_01,LED 01,0,1,0.004,
2025-08-10 09:39:23.345585,LED_CHANGE,LED_02,LED 02,0,1,0.006,
2025-08-10 09:39:23.346711,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,1,0.007,
2025-08-10 09:39:23.361143,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-10 09:39:23.440227,LED_CHANGE,LED_01,LED 01,0,2,0.079,
2025-08-10 09:39:23.562340,LED_CHANGE,LED_02,LED 02,0,2,0.201,
2025-08-10 09:39:29.417144,SESSION_END,SYSTEM,Sistema,Duración: 6.06s,2,6.056,"{""duration_sec"": 6.055982}"
