timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-10 09:10:43.110200,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-10 09:10:43.119877,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-10 09:10:43.122078,LED_CHANGE,LED_01,LED 01,0,0,0.0,
2025-08-10 09:10:43.123954,LED_CHANGE,LED_02,LED 02,0,0,0.0,
2025-08-10 09:10:43.125242,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,0,0.0,
2025-08-10 09:10:43.126389,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,
2025-08-10 09:10:43.127922,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.002,
2025-08-10 09:10:43.129087,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.003,
2025-08-10 09:10:43.130425,LED_CHANGE,LED_01,LED 01,0,1,0.004,
2025-08-10 09:10:43.131613,LED_CHANGE,LED_02,LED 02,0,1,0.005,
2025-08-10 09:10:43.132608,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,1,0.006,
2025-08-10 09:10:43.144432,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-10 09:10:43.205668,LED_CHANGE,LED_01,LED 01,0,2,0.061,
2025-08-10 09:10:43.327598,LED_CHANGE,LED_02,LED 02,0,2,0.183,
2025-08-10 09:10:55.766943,SESSION_END,SYSTEM,Sistema,Duración: 12.62s,2,12.623,
