timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-09 18:25:28.887319,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-09 18:25:28.897124,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-09 18:25:28.899721,LED_CHANGE,LED_01,LED 01,OFF,0,0.0,
2025-08-09 18:25:28.902494,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,0,0.0,
2025-08-09 18:25:28.904646,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,
2025-08-09 18:25:28.906728,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.002,
2025-08-09 18:25:28.908753,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.004,
2025-08-09 18:25:28.910799,LED_CHANGE,LED_01,LED 01,OFF,1,0.006,
2025-08-09 18:25:28.913039,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,1,0.008,
2025-08-09 18:25:28.925535,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-09 18:25:28.977948,LED_CHANGE,LED_01,LED 01,OFF,2,0.052,
2025-08-09 18:25:28.980182,LED_CHANGE,LED_01,LED 01,OFF,2,0.055,
2025-08-09 18:25:30.844630,SESSION_END,SYSTEM,Sistema,Duración: 1.92s,2,1.919,
