timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-09 18:12:53.333649,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-09 18:12:53.339112,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-09 18:12:53.340357,LED_CHANGE,LED_01,LED 01,OFF,0,0.0,
2025-08-09 18:12:53.341465,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,0,0.0,
2025-08-09 18:12:53.342887,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,
2025-08-09 18:12:53.344292,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.001,
2025-08-09 18:12:53.345787,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.003,
2025-08-09 18:12:53.346978,LED_CHANGE,LED_01,LED 01,OFF,1,0.004,
2025-08-09 18:12:53.348353,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,1,0.005,
2025-08-09 18:12:53.356527,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-09 18:12:53.377278,LED_CHANGE,LED_01,LED 01,OFF,2,0.021,
2025-08-09 18:12:53.381149,LED_CHANGE,LED_01,LED 01,OFF,2,0.025,
2025-08-09 18:12:56.512814,LEVER_PRESS,LEVER_02,Palanca 02,1,2,3.156,
2025-08-09 18:12:57.192416,LEVER_PRESS,LEVER_02,Palanca 02,1,2,3.836,
2025-08-09 18:12:57.827615,LEVER_PRESS,LEVER_02,Palanca 02,1,2,4.471,
2025-08-09 18:12:58.461110,LEVER_PRESS,LEVER_02,Palanca 02,1,2,5.105,
2025-08-09 18:12:59.240446,LEVER_PRESS,LEVER_02,Palanca 02,1,2,5.884,
2025-08-09 18:12:59.956072,LEVER_PRESS,LEVER_02,Palanca 02,1,2,6.6,
2025-08-09 18:13:00.565371,LEVER_PRESS,LEVER_02,Palanca 02,1,2,7.209,
2025-08-09 18:13:01.140525,LEVER_PRESS,LEVER_02,Palanca 02,1,2,7.784,
2025-08-09 18:13:01.702046,LEVER_PRESS,LEVER_02,Palanca 02,1,2,8.346,
2025-08-09 18:13:03.100805,SESSION_END,SYSTEM,Sistema,Duración: 9.74s,2,9.744,
