timestamp,event_type,device_id,device_name,new_value,session_id,elapsed_sec,metadata
2025-08-09 18:36:38.252773,LEVER_PRESS,LEVER_01,Palanca 01,0,0,0.0,
2025-08-09 18:36:38.262943,LEVER_PRESS,LEVER_02,Palanca 02,0,0,0.0,
2025-08-09 18:36:38.265365,LED_CHANGE,LED_01,LED 01,OFF,0,0.0,
2025-08-09 18:36:38.267563,LED_CHANGE,LED_02,LED 02,OFF,0,0.0,
2025-08-09 18:36:38.269401,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,0,0.0,
2025-08-09 18:36:38.271151,SESSION_START,SYSTEM,Sistema,Sesión 1,1,0.0,
2025-08-09 18:36:38.272645,LEVER_PRESS,LEVER_01,Palanca 01,0,1,0.002,
2025-08-09 18:36:38.274056,LEVER_PRESS,LEVER_02,Palanca 02,0,1,0.003,
2025-08-09 18:36:38.275434,LED_CHANGE,LED_01,LED 01,OFF,1,0.004,
2025-08-09 18:36:38.277437,LED_CHANGE,LED_02,LED 02,OFF,1,0.006,
2025-08-09 18:36:38.279741,FOOD_DISPENSE,FOOD_DEVICE,Dispensador,0,1,0.009,
2025-08-09 18:36:38.287382,SESSION_START,SYSTEM,Sistema,Sesión 2,2,0.0,
2025-08-09 18:36:38.328806,LED_CHANGE,LED_01,LED 01,OFF,2,0.041,
2025-08-09 18:36:38.331429,LED_CHANGE,LED_02,LED 02,OFF,2,0.044,
2025-08-09 18:36:38.333432,LED_CHANGE,LED_01,LED 01,ON,2,0.046,
2025-08-09 18:36:38.391949,LED_CHANGE,LED_02,LED 02,ON,2,0.105,
2025-08-09 18:36:42.393689,SESSION_END,SYSTEM,Sistema,Duración: 4.11s,2,4.106,
